#,comet-13-1,comet-13-2,comet-13-3,comet-13-4,comet-13-5,comet-13-6,comet-13-7,comet-13-8,comet-13-9,comet-13-10,comet-13-11,comet-13-12,comet-13-13,comet-13-14,comet-13-15,comet-13-16,comet-13-17,comet-13-18
comet-13-1,0.0,1.1100000000000001,1.1299999999999999,1.1399999999999999,1.1499999999999999,1.1599999999999999,1.1299999999999999,1.1100000000000001,1.1599999999999999,1.1499999999999999,1.1799999999999999,1.1299999999999999,1.1100000000000001,1.1699999999999999,1.1299999999999999,1.1100000000000001,1.1200000000000001,1.1399999999999999
comet-13-2,1.1100000000000001,0.0,1.0900000000000001,1.1100000000000001,1.1100000000000001,1.1000000000000001,1.1100000000000001,1.1599999999999999,1.1599999999999999,1.1100000000000001,1.1399999999999999,1.1100000000000001,1.1100000000000001,1.1000000000000001,1.1299999999999999,1.1699999999999999,1.1200000000000001,1.1100000000000001
comet-13-3,1.1299999999999999,1.0900000000000001,0.0,1.1000000000000001,1.1000000000000001,1.1200000000000001,1.1100000000000001,1.1100000000000001,1.0900000000000001,1.1599999999999999,1.1200000000000001,1.1100000000000001,1.1000000000000001,1.1000000000000001,1.1200000000000001,1.1499999999999999,1.1299999999999999,1.1399999999999999
comet-13-4,1.1399999999999999,1.1100000000000001,1.1000000000000001,0.0,1.1100000000000001,1.1200000000000001,1.1000000000000001,1.1000000000000001,1.1200000000000001,1.1399999999999999,1.1100000000000001,1.1100000000000001,1.1200000000000001,1.1100000000000001,1.0900000000000001,1.1399999999999999,1.1000000000000001,1.2
comet-13-5,1.1499999999999999,1.1100000000000001,1.1000000000000001,1.1100000000000001,0.0,1.1399999999999999,1.1000000000000001,1.1100000000000001,1.1100000000000001,1.1000000000000001,1.1200000000000001,1.1000000000000001,1.1100000000000001,1.1299999999999999,1.1299999999999999,1.1200000000000001,1.1200000000000001,1.1299999999999999
comet-13-6,1.1599999999999999,1.1000000000000001,1.1200000000000001,1.1200000000000001,1.1399999999999999,0.0,1.1399999999999999,1.1100000000000001,1.1299999999999999,1.1299999999999999,1.1499999999999999,1.1100000000000001,1.2,1.1200000000000001,1.0900000000000001,1.1200000000000001,1.1399999999999999,1.1799999999999999
comet-13-7,1.1299999999999999,1.1100000000000001,1.1100000000000001,1.1000000000000001,1.1000000000000001,1.1399999999999999,0.0,1.1000000000000001,1.1000000000000001,1.1399999999999999,1.1200000000000001,1.1200000000000001,1.1000000000000001,1.1699999999999999,1.1299999999999999,1.1499999999999999,1.1299999999999999,1.1200000000000001
comet-13-8,1.1100000000000001,1.1599999999999999,1.1100000000000001,1.1000000000000001,1.1100000000000001,1.1100000000000001,1.1000000000000001,0.0,1.1599999999999999,1.1499999999999999,1.1000000000000001,1.1599999999999999,1.1100000000000001,1.1000000000000001,1.1200000000000001,1.1200000000000001,1.1299999999999999,1.1499999999999999
comet-13-9,1.1599999999999999,1.1599999999999999,1.0900000000000001,1.1200000000000001,1.1100000000000001,1.1299999999999999,1.1000000000000001,1.1599999999999999,0.0,1.1299999999999999,1.1200000000000001,1.1299999999999999,1.1000000000000001,1.1599999999999999,1.1299999999999999,1.1599999999999999,1.1399999999999999,1.1200000000000001
comet-13-10,1.1499999999999999,1.1100000000000001,1.1599999999999999,1.1399999999999999,1.1000000000000001,1.1299999999999999,1.1399999999999999,1.1499999999999999,1.1299999999999999,0.0,1.1000000000000001,1.1200000000000001,1.1299999999999999,1.1299999999999999,1.1399999999999999,1.1000000000000001,1.1100000000000001,1.1200000000000001
