comet-27-37,comet-27-38
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.12
2                       1.13
4                       1.14
8                       1.14
16                      1.16
32                      1.18
64                      1.21
128                     1.29
256                     1.84
512                     1.94
1024                    2.28
2048                    2.79
4096                    3.22
8192                    4.54
16384                   6.87
32768                  10.22
65536                  15.70
131072                 26.01
262144                 46.89
524288                 88.12
1048576               171.15
2097152               338.44
4194304               668.87
comet-27-37,comet-27-39
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.10
2                       1.13
4                       1.14
8                       1.14
16                      1.16
32                      1.17
64                      1.23
128                     1.30
256                     1.82
512                     1.95
1024                    2.28
2048                    2.79
4096                    3.20
8192                    4.57
16384                   6.84
32768                  10.23
65536                  15.64
131072                 26.02
262144                 47.22
524288                 88.13
1048576               171.66
2097152               338.41
4194304               669.93
comet-27-37,comet-27-40
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.11
2                       1.11
4                       1.13
8                       1.14
16                      1.14
32                      1.16
64                      1.19
128                     1.29
256                     1.86
512                     1.96
1024                    2.28
2048                    2.79
4096                    3.19
8192                    4.54
16384                   6.94
32768                  10.23
65536                  15.64
131072                 26.00
262144                 46.66
524288                 88.03
1048576               170.81
2097152               337.96
4194304               668.69
comet-27-37,comet-27-41
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.06
1                       1.13
2                       1.15
4                       1.16
8                       1.15
16                      1.17
32                      1.18
64                      1.20
128                     1.31
256                     1.85
512                     1.95
1024                    2.31
2048                    2.80
4096                    3.18
8192                    4.55
16384                   6.78
32768                  10.12
65536                  15.57
131072                 26.03
262144                 46.68
524288                 89.78
1048576               171.48
2097152               337.71
4194304               668.36
comet-27-37,comet-27-42
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.06
1                       1.13
2                       1.13
4                       1.17
8                       1.16
16                      1.18
32                      1.20
64                      1.24
128                     1.33
256                     1.87
512                     1.99
1024                    2.30
2048                    2.80
4096                    3.23
8192                    4.52
16384                   6.90
32768                  10.65
65536                  15.74
131072                 26.09
262144                 46.86
524288                 88.28
1048576               171.66
2097152               338.09
4194304               669.51
comet-27-37,comet-27-43
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.10
2                       1.13
4                       1.13
8                       1.12
16                      1.15
32                      1.15
64                      1.21
128                     1.27
256                     1.83
512                     1.93
1024                    2.28
2048                    2.79
4096                    3.21
8192                    4.54
16384                   6.79
32768                  10.16
65536                  15.63
131072                 25.96
262144                 46.90
524288                 88.16
1048576               171.44
2097152               339.22
4194304               669.31
comet-27-37,comet-27-44
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.07
1                       1.12
2                       1.14
4                       1.13
8                       1.13
16                      1.15
32                      1.17
64                      1.23
128                     1.30
256                     1.85
512                     1.95
1024                    2.28
2048                    2.79
4096                    3.22
8192                    4.54
16384                   6.74
32768                  10.17
65536                  15.60
131072                 26.63
262144                 46.95
524288                 88.21
1048576               170.99
2097152               338.27
4194304               669.10
comet-27-37,comet-27-45
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.14
2                       1.14
4                       1.13
8                       1.13
16                      1.15
32                      1.16
64                      1.20
128                     1.30
256                     1.83
512                     1.95
1024                    2.27
2048                    2.78
