comet-22-37,comet-22-38
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.14
2                       1.13
4                       1.12
8                       1.15
16                      1.17
32                      1.20
64                      1.22
128                     1.31
256                     1.84
512                     1.94
1024                    2.29
2048                    2.80
4096                    3.22
8192                    4.55
16384                   6.79
32768                  10.42
65536                  15.79
131072                 26.18
262144                 46.85
524288                 88.37
1048576               171.74
2097152               338.24
4194304               669.50
comet-22-37,comet-22-39
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.11
2                       1.12
4                       1.12
8                       1.12
16                      1.14
32                      1.15
64                      1.20
128                     1.28
256                     1.84
512                     1.93
1024                    2.27
2048                    2.77
4096                    3.20
8192                    4.55
16384                   6.84
32768                  10.18
65536                  15.64
131072                 26.27
262144                 46.76
524288                 88.16
1048576               171.15
2097152               338.81
4194304               669.23
comet-22-37,comet-22-40
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.14
2                       1.15
4                       1.15
8                       1.14
16                      1.14
32                      1.16
64                      1.24
128                     1.31
256                     1.84
512                     1.96
1024                    2.28
2048                    2.78
4096                    3.22
8192                    4.52
16384                   6.76
32768                  10.23
65536                  15.72
131072                 26.18
262144                 46.89
524288                 88.21
1048576               171.18
2097152               337.92
4194304               668.80
comet-22-37,comet-22-41
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.06
1                       1.13
2                       1.15
4                       1.15
8                       1.14
16                      1.16
32                      1.17
64                      1.21
128                     1.30
256                     1.83
512                     1.96
1024                    2.27
2048                    2.78
4096                    3.21
8192                    4.54
16384                   6.95
32768                  10.22
65536                  15.70
131072                 26.09
262144                 46.76
524288                 88.08
1048576               172.69
2097152               337.75
4194304               668.70
comet-22-37,comet-22-42
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.06
1                       1.12
2                       1.12
4                       1.13
8                       1.11
16                      1.13
32                      1.15
64                      1.18
128                     1.29
256                     1.83
512                     1.95
1024                    2.28
2048                    2.79
4096                    3.22
8192                    4.54
16384                   6.86
32768                  10.27
65536                  15.67
131072                 26.24
262144                 47.22
524288                 88.13
1048576               171.41
2097152               337.65
4194304               669.00
comet-22-37,comet-22-43
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.08
1                       1.14
2                       1.15
4                       1.16
8                       1.17
16                      1.19
32                      1.19
64                      1.24
128                     1.32
256                     1.86
512                     1.97
1024                    2.29
2048                    2.81
4096                    3.23
8192                    4.56
16384                   6.98
32768                  10.43
65536                  15.73
131072                 26.14
262144                 46.88
524288                 88.24
1048576               171.68
2097152               338.47
4194304               670.84
comet-22-37,comet-22-44
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.13
2                       1.15
4                       1.15
8                       1.15
16                      1.17
32                      1.16
64                      1.20
128                     1.29
256                     1.80
512                     1.82
1024                    2.19
2048                    2.72
4096                    3.15
8192                    4.51
16384                   6.74
32768                  10.06
65536                  15.62
131072                 25.88
262144                 46.67
524288                 88.00
1048576               171.37
2097152               337.89
