comet-11-19,comet-11-20
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.15
1                       1.20
2                       1.21
4                       1.24
8                       1.23
16                      1.26
32                      1.28
64                      1.32
128                     1.41
256                     1.92
512                     2.04
1024                    2.35
2048                    2.86
4096                    3.29
8192                    4.66
16384                   7.00
32768                  10.47
65536                  15.95
131072                 26.37
262144                 47.12
524288                 88.48
1048576               171.51
2097152               339.22
4194304               669.95
comet-11-19,comet-11-21
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.12
2                       1.14
4                       1.15
8                       1.14
16                      1.16
32                      1.16
64                      1.20
128                     1.29
256                     1.83
512                     1.95
1024                    2.30
2048                    2.78
4096                    3.22
8192                    4.63
16384                   6.92
32768                  10.23
65536                  15.72
131072                 26.48
262144                 46.80
524288                 88.21
1048576               171.49
2097152               338.59
4194304               669.49
comet-11-19,comet-11-22
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.07
1                       1.13
2                       1.14
4                       1.13
8                       1.14
16                      1.16
32                      1.18
64                      1.22
128                     1.31
256                     1.84
512                     1.94
1024                    2.27
2048                    2.78
4096                    3.20
8192                    4.56
16384                   7.00
32768                  10.33
65536                  16.20
131072                 26.37
262144                 47.00
524288                 88.25
1048576               171.44
2097152               338.80
4194304               669.02
comet-11-19,comet-11-23
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.06
1                       1.14
2                       1.16
4                       1.16
8                       1.16
16                      1.18
32                      1.19
64                      1.24
128                     1.33
256                     1.84
512                     1.95
1024                    2.30
2048                    2.80
4096                    3.23
8192                    4.55
16384                   7.03
32768                  10.40
65536                  15.86
131072                 26.24
262144                 47.04
524288                 88.50
1048576               171.74
2097152               338.50
4194304               669.49
comet-11-19,comet-11-24
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.09
1                       1.14
2                       1.17
4                       1.16
8                       1.16
16                      1.16
32                      1.17
64                      1.21
128                     1.30
256                     1.85
512                     1.96
1024                    2.28
2048                    2.80
4096                    3.23
8192                    4.55
16384                   6.90
32768                  10.25
65536                  15.63
131072                 26.05
262144                 46.71
524288                 88.16
1048576               170.91
2097152               338.71
