comet-21-37,comet-21-38
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.11
1                       1.17
2                       1.17
4                       1.18
8                       1.18
16                      1.19
32                      1.21
64                      1.25
128                     1.35
256                     1.87
512                     1.98
1024                    2.29
2048                    2.79
4096                    3.22
8192                    4.54
16384                   6.86
32768                  10.37
65536                  15.94
131072                 26.45
262144                 47.21
524288                 88.41
1048576               171.50
2097152               338.27
4194304               668.87
comet-21-37,comet-21-39
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.12
1                       1.21
2                       1.20
4                       1.18
8                       1.19
16                      1.20
32                      1.20
64                      1.25
128                     1.33
256                     1.87
512                     1.99
1024                    2.30
2048                    2.80
4096                    3.25
8192                    4.55
16384                   6.80
32768                  10.36
65536                  15.80
131072                 26.19
262144                 46.90
524288                 88.28
1048576               171.72
2097152               338.02
4194304               670.21
comet-21-37,comet-21-40
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.13
1                       1.15
2                       1.15
4                       1.14
8                       1.13
16                      1.14
32                      1.15
64                      1.19
128                     1.27
256                     1.82
512                     1.95
1024                    2.27
2048                    2.77
4096                    3.20
8192                    4.58
16384                   6.89
32768                  10.31
65536                  15.76
131072                 26.37
262144                 47.12
524288                 88.33
1048576               171.48
2097152               338.94
4194304               670.76
comet-21-37,comet-21-41
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.10
1                       1.15
2                       1.15
4                       1.15
8                       1.14
16                      1.18
32                      1.18
64                      1.23
128                     1.32
256                     1.84
512                     1.96
1024                    2.30
2048                    2.79
4096                    3.21
8192                    4.57
16384                   6.78
32768                  10.37
65536                  15.75
131072                 26.29
262144                 46.85
524288                 88.86
1048576               171.46
2097152               338.23
4194304               670.26
comet-21-37,comet-21-42
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.12
1                       1.20
2                       1.18
4                       1.17
8                       1.16
16                      1.19
32                      1.21
64                      1.24
128                     1.33
256                     1.88
512                     2.00
1024                    2.30
2048                    2.80
4096                    3.24
8192                    4.61
16384                   6.92
32768                  10.34
65536                  15.74
131072                 26.15
262144                 46.86
524288                 88.19
1048576               171.55
2097152               338.21
4194304               669.17
comet-21-37,comet-21-43
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.10
1                       1.19
2                       1.17
4                       1.19
8                       1.19
16                      1.21
32                      1.19
64                      1.23
128                     1.31
256                     1.90
512                     1.98
1024                    2.28
2048                    2.79
4096                    3.24
8192                    4.55
16384                   6.89
32768                  10.38
65536                  15.83
131072                 26.25
262144                 46.94
524288                 88.21
1048576               171.65
2097152               338.09
4194304               668.86
comet-21-37,comet-21-44
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.06
1                       1.14
2                       1.13
4                       1.14
8                       1.14
16                      1.17
32                      1.18
64                      1.22
128                     1.30
256                     1.86
512                     1.96
1024                    2.28
2048                    2.80
4096                    3.22
8192                    4.58
16384                   7.05
32768                  10.47
65536                  15.71
131072                 26.14
262144                 46.79
524288                 88.24
1048576               171.65
2097152               338.40
4194304               668.58
comet-21-37,comet-21-45
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.12
1                       1.19
2                       1.20
4                       1.23
8                       1.21
16                      1.24
32                      1.24
64                      1.27
128                     1.35
256                     1.90
512                     2.01
1024                    2.32
2048                    2.83
4096                    3.26
8192                    4.58
16384                   6.98
32768                  10.41
65536                  15.87
131072                 26.31
262144                 47.06
524288                 88.33
1048576               171.92
2097152               338.74
4194304               669.77
comet-21-37,comet-21-46
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.07
1                       1.15
2                       1.15
4                       1.15
8                       1.15
16                      1.18
32                      1.20
64                      1.23
128                     1.32
256                     1.85
512                     1.96
1024                    2.28
2048                    2.80
4096                    3.22
