#,comet-15-55,comet-15-56,comet-15-57,comet-15-58,comet-15-59,comet-15-60,comet-15-61,comet-15-62,comet-15-63,comet-15-64,comet-15-65,comet-15-66,comet-15-67,comet-15-68,comet-15-69,comet-15-70,comet-15-71,comet-15-72
comet-15-55,0.0,1.1799999999999999,1.1399999999999999,1.1599999999999999,1.1399999999999999,1.1399999999999999,1.1899999999999999,1.1399999999999999,1.1399999999999999,1.1499999999999999,1.1899999999999999,1.1299999999999999,1.1299999999999999,1.1299999999999999,1.1899999999999999,1.1499999999999999,1.1200000000000001,1.1299999999999999
comet-15-56,1.1799999999999999,0.0,1.1100000000000001,1.1200000000000001,1.2,1.2,1.1200000000000001,1.1299999999999999,1.1399999999999999,1.1100000000000001,1.1299999999999999,1.1699999999999999,1.1200000000000001,1.1299999999999999,1.1200000000000001,1.1899999999999999,1.1299999999999999,1.1100000000000001
comet-15-57,1.1399999999999999,1.1100000000000001,0.0,1.2,1.24,1.1799999999999999,1.1200000000000001,1.21,1.1799999999999999,1.1200000000000001,1.1100000000000001,1.1399999999999999,1.1799999999999999,1.1100000000000001,1.1599999999999999,1.1100000000000001,1.1100000000000001,1.1100000000000001
comet-15-58,1.1599999999999999,1.1200000000000001,1.2,0.0,1.1200000000000001,1.1000000000000001,1.1699999999999999,1.1000000000000001,1.1200000000000001,1.2,1.27,1.1000000000000001,1.1299999999999999,1.1100000000000001,1.1599999999999999,1.1200000000000001,1.1100000000000001,1.1000000000000001
comet-15-59,1.1399999999999999,1.2,1.24,1.1200000000000001,0.0,1.1499999999999999,1.1100000000000001,1.1200000000000001,1.1100000000000001,1.1699999999999999,1.1699999999999999,1.1200000000000001,1.26,1.1299999999999999,1.1100000000000001,1.1399999999999999,1.1499999999999999,1.2
comet-15-60,1.1399999999999999,1.2,1.1799999999999999,1.1000000000000001,1.1499999999999999,0.0,1.2,1.1599999999999999,1.1399999999999999,1.1799999999999999,1.1299999999999999,1.1599999999999999,1.1100000000000001,1.1100000000000001,1.1100000000000001,1.1100000000000001,1.1200000000000001,1.1100000000000001
comet-15-61,1.1899999999999999,1.1200000000000001,1.1200000000000001,1.1699999999999999,1.1100000000000001,1.2,0.0,1.25,1.1399999999999999,1.1899999999999999,1.1499999999999999,1.1200000000000001,1.1000000000000001,1.1899999999999999,1.1499999999999999,1.1899999999999999,1.1100000000000001,1.1100000000000001
comet-15-62,1.1399999999999999,1.1299999999999999,1.21,1.1000000000000001,1.1200000000000001,1.1599999999999999,1.25,0.0,1.1799999999999999,1.1200000000000001,1.1599999999999999,1.1299999999999999,1.1000000000000001,1.1299999999999999,1.1000000000000001,1.1000000000000001,1.1200000000000001,1.1699999999999999
comet-15-63,1.1399999999999999,1.1399999999999999,1.1799999999999999,1.1200000000000001,1.1100000000000001,1.1399999999999999,1.1399999999999999,1.1799999999999999,0.0,1.26,1.1299999999999999,1.1299999999999999,1.1000000000000001,1.1499999999999999,1.1100000000000001,1.1100000000000001,1.1599999999999999,1.1200000000000001
comet-15-64,1.1499999999999999,1.1100000000000001,1.1200000000000001,1.2,1.1699999999999999,1.1799999999999999,1.1899999999999999,1.1200000000000001,1.26,0.0,1.1499999999999999,1.1100000000000001,1.1799999999999999,1.1000000000000001,1.1599999999999999,1.1000000000000001,1.2,1.1200000000000001
comet-15-65,1.1899999999999999,1.1299999999999999,1.1100000000000001,1.27,1.1699999999999999,1.1299999999999999,1.1499999999999999,1.1599999999999999,1.1299999999999999,1.1499999999999999,0.0,1.1299999999999999,1.1499999999999999,1.1200000000000001,1.1599999999999999,1.1599999999999999,1.1000000000000001,1.1399999999999999
comet-15-66,1.1299999999999999,1.1699999999999999,1.1399999999999999,1.1000000000000001,1.1200000000000001,1.1599999999999999,1.1200000000000001,1.1299999999999999,1.1299999999999999,1.1100000000000001,1.1299999999999999,0.0,1.1000000000000001,1.1000000000000001,1.1100000000000001,1.1299999999999999,1.1699999999999999,1.1100000000000001
comet-15-67,1.1299999999999999,1.1200000000000001,1.1799999999999999,1.1299999999999999,1.26,1.1100000000000001,1.1000000000000001,1.1000000000000001,1.1000000000000001,1.1799999999999999,1.1499999999999999,1.1000000000000001,0.0,1.0900000000000001,1.1399999999999999,1.1200000000000001,1.1100000000000001,1.1200000000000001
