#,comet-12-1,comet-12-2,comet-12-3,comet-12-4,comet-12-5,comet-12-6,comet-12-7,comet-12-8,comet-12-9,comet-12-10,comet-12-11,comet-12-12,comet-12-13,comet-12-14,comet-12-15,comet-12-16,comet-12-17,comet-12-18
comet-12-1,0.0,1.1200000000000001,1.1499999999999999,1.1200000000000001,1.1399999999999999,1.1499999999999999,1.1399999999999999,1.1899999999999999,1.1200000000000001,1.1499999999999999,1.1200000000000001,1.1499999999999999,1.1599999999999999,1.1499999999999999,1.1399999999999999,1.1399999999999999,1.1200000000000001,1.1100000000000001
comet-12-2,1.1200000000000001,0.0,1.1100000000000001,1.1100000000000001,1.0900000000000001,1.1200000000000001,1.1299999999999999,1.1200000000000001,1.1299999999999999,1.1200000000000001,1.1299999999999999,1.1100000000000001,1.1200000000000001,1.1100000000000001,1.1200000000000001,1.1200000000000001,1.1200000000000001,1.1200000000000001
comet-12-3,1.1499999999999999,1.1100000000000001,0.0,1.1100000000000001,1.1899999999999999,1.1000000000000001,1.1100000000000001,1.1000000000000001,1.1100000000000001,1.1200000000000001,1.1000000000000001,1.1399999999999999,1.1000000000000001,1.1499999999999999,1.1200000000000001,1.1000000000000001,1.1100000000000001,1.1000000000000001
comet-12-4,1.1200000000000001,1.1100000000000001,1.1100000000000001,0.0,1.1200000000000001,1.1200000000000001,1.1200000000000001,1.1599999999999999,1.1399999999999999,1.0900000000000001,1.1299999999999999,1.1699999999999999,1.1299999999999999,1.1000000000000001,1.1299999999999999,1.1299999999999999,1.1499999999999999,1.1499999999999999
comet-12-5,1.1399999999999999,1.0900000000000001,1.1899999999999999,1.1200000000000001,0.0,1.1100000000000001,1.26,1.21,1.1299999999999999,1.1299999999999999,1.1100000000000001,1.1399999999999999,1.1100000000000001,1.23,1.1000000000000001,1.1799999999999999,1.1499999999999999,1.24
comet-12-6,1.1499999999999999,1.1200000000000001,1.1000000000000001,1.1200000000000001,1.1100000000000001,0.0,1.1100000000000001,1.1100000000000001,1.1000000000000001,1.1899999999999999,1.1599999999999999,1.1200000000000001,1.1499999999999999,1.1000000000000001,1.1000000000000001,1.1200000000000001,1.1100000000000001,1.1399999999999999
comet-12-7,1.1399999999999999,1.1299999999999999,1.1100000000000001,1.1200000000000001,1.26,1.1100000000000001,0.0,1.1200000000000001,1.1100000000000001,1.1299999999999999,1.1299999999999999,1.1200000000000001,1.1200000000000001,1.1200000000000001,1.1100000000000001,1.1299999999999999,1.1100000000000001,1.1000000000000001
comet-12-8,1.1899999999999999,1.1200000000000001,1.1000000000000001,1.1599999999999999,1.21,1.1100000000000001,1.1200000000000001,0.0,1.1499999999999999,1.1000000000000001,1.1699999999999999,1.1200000000000001,1.1100000000000001,1.1200000000000001,1.1299999999999999,1.1699999999999999,1.1799999999999999,1.1200000000000001
comet-12-9,1.1200000000000001,1.1299999999999999,1.1100000000000001,1.1399999999999999,1.1299999999999999,1.1000000000000001,1.1100000000000001,1.1499999999999999,0.0,1.1499999999999999,1.1000000000000001,1.1200000000000001,1.1000000000000001,1.1000000000000001,1.1499999999999999,1.1000000000000001,1.1100000000000001,1.1299999999999999
comet-12-10,1.1499999999999999,1.1200000000000001,1.1200000000000001,1.0900000000000001,1.1299999999999999,1.1899999999999999,1.1299999999999999,1.1000000000000001,1.1499999999999999,0.0,1.1599999999999999,1.1299999999999999,1.1599999999999999,1.1000000000000001,1.0900000000000001,1.1200000000000001,1.1299999999999999,1.1200000000000001
comet-12-11,1.1200000000000001,1.1299999999999999,1.1000000000000001,1.1299999999999999,1.1100000000000001,1.1599999999999999,1.1299999999999999,1.1699999999999999,1.1000000000000001,1.1599999999999999,0.0,1.2,1.1599999999999999,1.1699999999999999,1.1200000000000001,1.1599999999999999,1.1299999999999999,1.1200000000000001
comet-12-12,1.1499999999999999,1.1100000000000001,1.1399999999999999,1.1699999999999999,1.1399999999999999,1.1200000000000001,1.1200000000000001,1.1200000000000001,1.1200000000000001,1.1299999999999999,1.2,0.0,1.1699999999999999,1.1399999999999999,1.1299999999999999,1.1699999999999999,1.1200000000000001,1.1299999999999999
comet-12-13,1.1599999999999999,1.1200000000000001,1.1000000000000001,1.1299999999999999,1.1100000000000001,1.1499999999999999,1.1200000000000001,1.1100000000000001,1.1000000000000001,1.1599999999999999,1.1599999999999999,1.1699999999999999,0.0,1.1499999999999999,1.1100000000000001,1.1299999999999999,1.1100000000000001,1.1200000000000001
