#,comet-19-1,comet-19-2,comet-19-3,comet-19-4,comet-19-5,comet-19-6,comet-19-7,comet-19-8,comet-19-9,comet-19-10,comet-19-11,comet-19-12,comet-19-13,comet-19-14,comet-19-15,comet-19-16,comet-19-17,comet-19-18
comet-19-1,0.0,1.1499999999999999,1.1499999999999999,1.1499999999999999,1.1399999999999999,1.1100000000000001,1.1299999999999999,1.1699999999999999,1.1499999999999999,1.1399999999999999,1.1399999999999999,1.1299999999999999,1.2,1.1200000000000001,1.1499999999999999,1.1299999999999999,1.1599999999999999,1.1200000000000001
comet-19-2,1.1499999999999999,0.0,1.1100000000000001,1.1100000000000001,1.1100000000000001,1.1599999999999999,1.1499999999999999,1.1200000000000001,1.1100000000000001,1.1200000000000001,1.2,1.1399999999999999,1.1799999999999999,1.1100000000000001,1.1200000000000001,1.1000000000000001,1.1200000000000001,1.1200000000000001
comet-19-3,1.1499999999999999,1.1100000000000001,0.0,1.1000000000000001,1.1100000000000001,1.1100000000000001,1.1200000000000001,1.1699999999999999,1.1100000000000001,1.1000000000000001,1.1399999999999999,1.1000000000000001,1.1100000000000001,1.1000000000000001,1.1200000000000001,1.1100000000000001,1.1000000000000001,1.1100000000000001
comet-19-4,1.1499999999999999,1.1100000000000001,1.1000000000000001,0.0,1.1100000000000001,1.1100000000000001,1.1799999999999999,1.1100000000000001,1.1499999999999999,1.1299999999999999,1.1100000000000001,1.1299999999999999,1.1200000000000001,1.1100000000000001,1.1299999999999999,1.1200000000000001,1.1200000000000001,1.1000000000000001
comet-19-5,1.1399999999999999,1.1100000000000001,1.1100000000000001,1.1100000000000001,0.0,1.1499999999999999,1.1599999999999999,1.1599999999999999,1.1399999999999999,1.1499999999999999,1.1799999999999999,1.0900000000000001,1.1100000000000001,1.1100000000000001,1.1000000000000001,1.1000000000000001,1.1200000000000001,1.1399999999999999
comet-19-6,1.1100000000000001,1.1599999999999999,1.1100000000000001,1.1100000000000001,1.1499999999999999,0.0,1.1299999999999999,1.1499999999999999,1.1100000000000001,1.1200000000000001,1.1299999999999999,1.1200000000000001,1.1499999999999999,1.1200000000000001,1.1000000000000001,1.1100000000000001,1.1000000000000001,1.1299999999999999
comet-19-7,1.1299999999999999,1.1499999999999999,1.1200000000000001,1.1799999999999999,1.1599999999999999,1.1299999999999999,0.0,1.0900000000000001,1.1200000000000001,1.1699999999999999,1.1299999999999999,1.21,1.1000000000000001,1.1000000000000001,1.1100000000000001,1.1000000000000001,1.1200000000000001,1.1200000000000001
comet-19-8,1.1699999999999999,1.1200000000000001,1.1699999999999999,1.1100000000000001,1.1599999999999999,1.1499999999999999,1.0900000000000001,0.0,1.1100000000000001,1.1299999999999999,1.1100000000000001,1.1200000000000001,1.1200000000000001,1.1399999999999999,1.1100000000000001,1.1499999999999999,1.1399999999999999,1.1100000000000001
comet-19-9,1.1499999999999999,1.1100000000000001,1.1100000000000001,1.1499999999999999,1.1399999999999999,1.1100000000000001,1.1200000000000001,1.1100000000000001,0.0,1.1200000000000001,1.1599999999999999,1.1000000000000001,1.1200000000000001,1.1200000000000001,1.1399999999999999,1.1499999999999999,1.1000000000000001,1.1200000000000001
comet-19-10,1.1399999999999999,1.1200000000000001,1.1000000000000001,1.1299999999999999,1.1499999999999999,1.1200000000000001,1.1699999999999999,1.1299999999999999,1.1200000000000001,0.0,1.1100000000000001,1.1000000000000001,1.1200000000000001,1.1200000000000001,1.1100000000000001,1.1100000000000001,1.1200000000000001,1.1200000000000001
comet-19-11,1.1399999999999999,1.2,1.1399999999999999,1.1100000000000001,1.1799999999999999,1.1299999999999999,1.1299999999999999,1.1100000000000001,1.1599999999999999,1.1100000000000001,0.0,1.1599999999999999,1.1599999999999999,1.1399999999999999,1.1200000000000001,1.1599999999999999,1.1899999999999999,1.1100000000000001
comet-19-12,1.1299999999999999,1.1399999999999999,1.1000000000000001,1.1299999999999999,1.0900000000000001,1.1200000000000001,1.21,1.1200000000000001,1.1000000000000001,1.1000000000000001,1.1599999999999999,0.0,1.1000000000000001,1.1200000000000001,1.1000000000000001,1.1200000000000001,1.1200000000000001,1.1200000000000001
comet-19-13,1.2,1.1799999999999999,1.1100000000000001,1.1200000000000001,1.1100000000000001,1.1499999999999999,1.1000000000000001,1.1200000000000001,1.1200000000000001,1.1200000000000001,1.1599999999999999,1.1000000000000001,0.0,1.1200000000000001,1.1000000000000001,1.1399999999999999,1.1200000000000001,1.1100000000000001
comet-19-14,1.1200000000000001,1.1100000000000001,1.1000000000000001,1.1100000000000001,1.1100000000000001,1.1200000000000001,1.1000000000000001,1.1399999999999999,1.1200000000000001,1.1200000000000001,1.1399999999999999,1.1200000000000001,1.1200000000000001,0.0,1.0900000000000001,1.1000000000000001,1.1100000000000001,1.21
comet-19-15,1.1499999999999999,1.1200000000000001,1.1200000000000001,1.1299999999999999,1.1000000000000001,1.1000000000000001,1.1100000000000001,1.1100000000000001,1.1399999999999999,1.1100000000000001,1.1200000000000001,1.1000000000000001,1.1000000000000001,1.0900000000000001,0.0,1.1000000000000001,1.1200000000000001,1.1599999999999999
comet-19-16,1.1299999999999999,1.1000000000000001,1.1100000000000001,1.1200000000000001,1.1000000000000001,1.1100000000000001,1.1000000000000001,1.1499999999999999,1.1499999999999999,1.1100000000000001,1.1599999999999999,1.1200000000000001,1.1399999999999999,1.1000000000000001,1.1000000000000001,0.0,1.1100000000000001,1.1599999999999999
comet-19-17,1.1599999999999999,1.1200000000000001,1.1000000000000001,1.1200000000000001,1.1200000000000001,1.1000000000000001,1.1200000000000001,1.1399999999999999,1.1000000000000001,1.1200000000000001,1.1899999999999999,1.1200000000000001,1.1200000000000001,1.1100000000000001,1.1200000000000001,1.1100000000000001,0.0,1.1499999999999999
comet-19-18,1.1200000000000001,1.1200000000000001,1.1100000000000001,1.1000000000000001,1.1399999999999999,1.1299999999999999,1.1200000000000001,1.1100000000000001,1.1200000000000001,1.1200000000000001,1.1100000000000001,1.1200000000000001,1.1100000000000001,1.21,1.1599999999999999,1.1599999999999999,1.1499999999999999,0.0
