#,comet-16-55,comet-16-56,comet-16-57,comet-16-58,comet-16-59,comet-16-60,comet-16-61,comet-16-62,comet-16-63,comet-16-64,comet-16-65,comet-16-66,comet-16-67,comet-16-68,comet-16-69,comet-16-70,comet-16-71,comet-16-72
comet-16-55,0.0,1.1299999999999999,1.1399999999999999,1.1299999999999999,1.1299999999999999,1.1200000000000001,1.1399999999999999,1.1200000000000001,1.1299999999999999,1.1299999999999999,1.1399999999999999,1.1499999999999999,1.1699999999999999,1.1000000000000001,1.1399999999999999,1.1299999999999999,1.1100000000000001,1.1399999999999999
comet-16-56,1.1299999999999999,0.0,1.1299999999999999,1.1899999999999999,1.1200000000000001,1.1299999999999999,1.1799999999999999,1.1299999999999999,1.1200000000000001,1.1200000000000001,1.1200000000000001,1.1000000000000001,1.1699999999999999,1.1000000000000001,1.1399999999999999,1.1200000000000001,1.1399999999999999,1.1299999999999999
comet-16-57,1.1399999999999999,1.1299999999999999,0.0,1.1499999999999999,1.1100000000000001,1.1000000000000001,1.1000000000000001,1.1100000000000001,1.1100000000000001,1.1100000000000001,1.1200000000000001,1.1299999999999999,1.1699999999999999,1.1200000000000001,1.1000000000000001,1.1899999999999999,1.1200000000000001,1.2
comet-16-58,1.1299999999999999,1.1899999999999999,1.1499999999999999,0.0,1.1100000000000001,1.1499999999999999,1.1100000000000001,1.1200000000000001,1.1000000000000001,1.1200000000000001,1.1299999999999999,1.1000000000000001,1.1299999999999999,1.1200000000000001,1.1000000000000001,1.1100000000000001,1.1299999999999999,1.1200000000000001
comet-16-59,1.1299999999999999,1.1200000000000001,1.1100000000000001,1.1100000000000001,0.0,1.1299999999999999,1.1100000000000001,1.1200000000000001,1.1100000000000001,1.21,1.1899999999999999,1.1100000000000001,1.1200000000000001,1.1200000000000001,1.1299999999999999,1.1699999999999999,1.1499999999999999,1.1000000000000001
comet-16-60,1.1200000000000001,1.1299999999999999,1.1000000000000001,1.1499999999999999,1.1299999999999999,0.0,1.1200000000000001,1.1299999999999999,1.1299999999999999,1.1200000000000001,1.1599999999999999,1.1399999999999999,1.2,1.1399999999999999,1.1000000000000001,1.1200000000000001,1.1100000000000001,1.1100000000000001
comet-16-61,1.1399999999999999,1.1799999999999999,1.1000000000000001,1.1100000000000001,1.1100000000000001,1.1200000000000001,0.0,1.1000000000000001,1.1399999999999999,1.1699999999999999,1.1200000000000001,1.1299999999999999,1.1000000000000001,1.1100000000000001,1.1100000000000001,1.1100000000000001,1.1100000000000001,1.1200000000000001
comet-16-62,1.1200000000000001,1.1299999999999999,1.1100000000000001,1.1200000000000001,1.1200000000000001,1.1299999999999999,1.1000000000000001,0.0,1.1200000000000001,1.1200000000000001,1.1299999999999999,1.1299999999999999,1.1100000000000001,1.1399999999999999,1.1499999999999999,1.1599999999999999,1.1100000000000001,1.1200000000000001
comet-16-63,1.1299999999999999,1.1200000000000001,1.1100000000000001,1.1000000000000001,1.1100000000000001,1.1299999999999999,1.1399999999999999,1.1200000000000001,0.0,1.1000000000000001,1.1100000000000001,1.1399999999999999,1.1100000000000001,1.1200000000000001,1.1599999999999999,1.1200000000000001,1.1200000000000001,1.1100000000000001
comet-16-64,1.1299999999999999,1.1200000000000001,1.1100000000000001,1.1200000000000001,1.21,1.1200000000000001,1.1699999999999999,1.1200000000000001,1.1000000000000001,0.0,1.1100000000000001,1.1799999999999999,1.1100000000000001,1.1399999999999999,1.1100000000000001,1.1000000000000001,1.1299999999999999,1.1599999999999999
