comet-01-37,comet-01-38
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.06
1                       1.15
2                       1.15
4                       1.17
8                       1.17
16                      1.21
32                      1.22
64                      1.29
128                     1.38
256                     1.91
512                     2.03
1024                    2.37
2048                    2.84
4096                    3.28
8192                    4.63
16384                   7.03
32768                  10.43
65536                  15.88
131072                 26.25
262144                 46.97
524288                 88.41
1048576               171.82
2097152               338.73
4194304               669.31
comet-01-37,comet-01-39
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.08
1                       1.12
2                       1.12
4                       1.13
8                       1.16
16                      1.18
32                      1.20
64                      1.24
128                     1.33
256                     1.85
512                     1.96
1024                    2.28
2048                    2.78
4096                    3.22
8192                    4.57
16384                   6.98
32768                  10.45
65536                  15.81
131072                 26.20
262144                 46.83
524288                 88.21
1048576               172.02
2097152               338.47
4194304               669.83
comet-01-37,comet-01-40
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.12
2                       1.13
4                       1.14
8                       1.14
16                      1.15
32                      1.18
64                      1.20
128                     1.29
256                     1.83
512                     1.95
1024                    2.28
2048                    2.77
4096                    3.19
8192                    4.55
16384                   6.85
32768                  10.26
65536                  15.68
131072                 26.11
262144                 46.75
524288                 88.15
1048576               171.20
2097152               338.13
4194304               669.27
comet-01-37,comet-01-41
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.14
2                       1.17
4                       1.16
8                       1.15
16                      1.17
32                      1.18
64                      1.23
128                     1.30
256                     1.84
512                     1.96
1024                    2.29
2048                    2.79
4096                    3.22
8192                    4.57
16384                   6.95
32768                  10.17
65536                  15.61
131072                 25.99
262144                 46.71
524288                 88.16
1048576               171.61
2097152               338.39
4194304               669.48
comet-01-37,comet-01-42
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.07
1                       1.14
2                       1.13
4                       1.14
8                       1.14
16                      1.18
32                      1.22
64                      1.27
128                     1.34
256                     1.85
512                     1.97
1024                    2.31
2048                    2.79
4096                    3.22
8192                    4.58
16384                   6.90
32768                  10.22
65536                  15.81
131072                 26.30
262144                 46.87
524288                 88.19
1048576               171.45
2097152               338.11
4194304               671.44
comet-01-37,comet-01-43
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.07
1                       1.12
2                       1.11
4                       1.14
8                       1.12
16                      1.13
32                      1.15
64                      1.20
128                     1.29
256                     1.81
512                     1.93
1024                    2.27
2048                    2.77
4096                    3.20
8192                    4.54
16384                   6.97
32768                  10.19
65536                  15.67
131072                 26.03
262144                 46.77
524288                 88.09
1048576               171.23
2097152               338.19
4194304               670.98
comet-01-37,comet-01-44
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.12
1                       1.19
2                       1.20
4                       1.21
8                       1.21
16                      1.22
32                      1.24
64                      1.27
128                     1.36
256                     1.90
512                     2.00
1024                    2.31
2048                    2.80
4096                    3.23
8192                    4.55
16384                   6.93
32768                  10.29
65536                  15.78
131072                 26.25
262144                 46.81
524288                 88.29
1048576               171.87
2097152               338.01
4194304               668.23
comet-01-37,comet-01-45
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.07
1                       1.14
2                       1.14
4                       1.16
8                       1.16
16                      1.17
32                      1.17
64                      1.24
128                     1.31
256                     1.84
512                     1.96
1024                    2.27
2048                    2.78
4096                    3.21
8192                    4.54
16384                   6.84
32768                  10.24
65536                  15.71
131072                 26.25
262144                 46.83
524288                 88.18
1048576               171.98
2097152               337.98
4194304               669.80
comet-01-37,comet-01-46
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.07
1                       1.15
2                       1.17
4                       1.17
8                       1.17
16                      1.16
32                      1.18
64                      1.20
128                     1.30
256                     1.86
512                     1.97
1024                    2.30
2048                    2.79
4096                    3.22
8192                    4.54
16384                   6.97
32768                  10.29
65536                  15.84
131072                 26.18
262144                 46.78
524288                 88.24
1048576               171.59
2097152               338.26
4194304               669.64
comet-01-37,comet-01-47
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.10
1                       1.15
2                       1.17
4                       1.15
8                       1.17
16                      1.19
32                      1.21
64                      1.26
128                     1.32
256                     1.90
512                     2.01
1024                    2.32
2048                    2.82
4096                    3.24
8192                    4.57
16384                   6.90
32768                  10.33
65536                  15.89
131072                 26.26
262144                 46.88
524288                 88.29
1048576               171.38
2097152               338.18
4194304               669.58
comet-01-37,comet-01-48
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.13
2                       1.15
4                       1.15
8                       1.15
16                      1.14
32                      1.16
64                      1.23
128                     1.31
256                     1.83
512                     1.93
1024                    2.29
2048                    2.76
4096                    3.19
8192                    4.59
16384                   6.87
32768                  10.21
65536                  15.90
131072                 26.30
262144                 46.84
524288                 88.24
1048576               171.52
2097152               337.81
4194304               669.80
comet-01-37,comet-01-49
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.15
2                       1.17
4                       1.15
8                       1.13
16                      1.16
32                      1.15
64                      1.20
128                     1.30
256                     1.84
512                     1.94
1024                    2.27
2048                    2.77
4096                    3.19
8192                    4.54
16384                   6.87
32768                  10.16
65536                  15.62
131072                 26.27
262144                 47.76
524288                 88.59
1048576               171.35
2097152               337.98
4194304               668.98
comet-01-37,comet-01-50
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.11
2                       1.13
4                       1.13
8                       1.13
16                      1.14
32                      1.15
64                      1.20
128                     1.29
256                     1.83
512                     1.94
1024                    2.26
2048                    2.78
4096                    3.20
8192                    4.56
16384                   6.88
32768                  10.20
65536                  15.62
131072                 26.12
262144                 46.76
524288                 88.28
1048576               171.46
2097152               338.38
4194304               670.06
comet-01-37,comet-01-51
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.06
1                       1.11
2                       1.14
4                       1.14
8                       1.16
16                      1.17
32                      1.17
64                      1.22
128                     1.31
256                     1.85
512                     1.98
1024                    2.30
2048                    2.80
4096                    3.23
8192                    4.59
16384                   6.97
32768                  10.33
65536                  15.97
131072                 26.48
262144                 46.99
524288                 88.41
1048576               172.05
2097152               338.14
4194304               670.09
comet-01-37,comet-01-52
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.16
2                       1.18
4                       1.15
8                       1.11
16                      1.13
32                      1.15
64                      1.18
128                     1.27
256                     1.86
512                     1.96
1024                    2.29
2048                    2.80
4096                    3.20
8192                    4.54
16384                   6.87
32768                  10.21
65536                  15.65
131072                 26.30
262144                 46.88
524288                 88.19
1048576               171.40
2097152               338.16
4194304               670.86
comet-01-37,comet-01-53
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.10
1                       1.17
2                       1.17
4                       1.16
8                       1.16
16                      1.19
32                      1.21
64                      1.24
128                     1.32
256                     1.85
512                     1.98
1024                    2.29
2048                    2.73
4096                    3.17
8192                    4.54
16384                   7.00
32768                  10.33
65536                  15.73
131072                 26.12
262144                 46.78
524288                 88.11
1048576               171.79
2097152               337.52
4194304               668.15
comet-01-37,comet-01-54
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.14
2                       1.13
4                       1.13
8                       1.13
16                      1.16
32                      1.16
64                      1.19
128                     1.29
256                     1.82
512                     1.94
1024                    2.28
2048                    2.78
4096                    3.20
8192                    4.56
16384                   6.84
32768                  10.22
65536                  15.69
131072                 26.16
262144                 46.93
524288                 88.23
1048576               171.82
2097152               338.03
4194304               672.08
comet-01-38,comet-01-37
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.07
1                       1.15
