comet-04-19,comet-04-20
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.08
1                       1.17
2                       1.17
4                       1.16
8                       1.17
16                      1.20
32                      1.21
64                      1.24
128                     1.34
256                     1.88
512                     1.99
1024                    2.30
2048                    2.81
4096                    3.23
8192                    4.50
16384                   6.82
32768                  10.33
65536                  16.04
131072                 26.39
262144                 47.73
524288                 88.31
1048576               171.80
2097152               338.59
4194304               668.92
comet-04-19,comet-04-21
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.08
1                       1.14
2                       1.14
4                       1.13
8                       1.12
16                      1.19
32                      1.20
64                      1.24
128                     1.33
256                     1.87
512                     1.98
1024                    2.30
2048                    2.79
4096                    3.23
8192                    4.53
16384                   7.00
32768                  10.36
65536                  15.87
131072                 26.16
262144                 46.86
524288                 88.30
1048576               172.10
2097152               338.02
4194304               671.37
comet-04-19,comet-04-22
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.13
1                       1.19
2                       1.21
4                       1.23
8                       1.24
16                      1.25
32                      1.25
64                      1.29
128                     1.38
256                     1.93
512                     2.05
1024                    2.34
2048                    2.83
4096                    3.27
8192                    4.58
16384                   6.90
32768                  10.42
65536                  15.87
131072                 26.26
262144                 46.99
524288                 88.42
1048576               171.37
2097152               338.68
4194304               669.52
comet-04-19,comet-04-23
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.12
2                       1.15
4                       1.15
8                       1.15
16                      1.16
32                      1.20
64                      1.23
128                     1.32
256                     1.85
512                     1.97
1024                    2.28
2048                    2.80
4096                    3.21
8192                    4.52
16384                   6.84
32768                  10.21
65536                  15.75
131072                 26.09
262144                 46.89
524288                 88.15
1048576               172.45
2097152               338.27
4194304               669.31
comet-04-19,comet-04-24
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.08
1                       1.16
2                       1.16
4                       1.17
8                       1.15
16                      1.19
32                      1.19
64                      1.23
128                     1.32
256                     1.84
512                     1.99
1024                    2.30
2048                    2.80
4096                    3.24
8192                    4.54
16384                   6.75
32768                  10.27
65536                  15.87
131072                 26.12
262144                 46.86
524288                 88.34
1048576               171.40
2097152               337.37
4194304               669.42
comet-04-19,comet-04-25
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.11
2                       1.14
4                       1.14
8                       1.15
16                      1.18
32                      1.20
