comet-17-12,comet-17-13
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.13
2                       1.13
4                       1.13
8                       1.14
16                      1.13
32                      1.14
64                      1.18
128                     1.27
256                     1.82
512                     1.95
1024                    2.29
2048                    2.79
4096                    3.20
8192                    4.54
16384                   6.86
32768                  10.18
65536                  15.66
131072                 26.09
262144                 46.79
524288                 88.27
1048576               171.44
2097152               338.42
4194304               670.48
comet-17-12,comet-17-14
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.14
2                       1.17
4                       1.14
8                       1.15
16                      1.18
32                      1.19
64                      1.23
128                     1.33
256                     1.83
512                     1.94
1024                    2.26
2048                    2.76
4096                    3.20
8192                    4.56
16384                   6.94
32768                  10.37
65536                  15.82
131072                 26.23
262144                 46.89
524288                 88.70
1048576               171.47
2097152               338.77
4194304               670.62
comet-17-13,comet-17-12
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.08
1                       1.16
2                       1.20
4                       1.18
8                       1.20
16                      1.21
32                      1.20
64                      1.24
128                     1.34
256                     1.88
512                     1.99
1024                    2.31
2048                    2.81
4096                    3.23
8192                    4.55
16384                   6.90
32768                  10.42
65536                  15.84
131072                 26.40
262144                 47.11
524288                 88.39
1048576               171.82
2097152               339.00
4194304               670.09
comet-17-13,comet-17-14
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.11
2                       1.10
4                       1.10
8                       1.10
16                      1.11
32                      1.13
64                      1.16
128                     1.25
256                     1.77
512                     1.88
1024                    2.24
2048                    2.74
4096                    3.16
8192                    4.54
16384                   6.85
32768                  10.11
65536                  15.53
131072                 25.90
262144                 46.65
524288                 87.99
1048576               172.28
2097152               338.39
4194304               670.90
comet-17-14,comet-17-12
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.11
2                       1.12
4                       1.11
8                       1.11
16                      1.12
32                      1.16
64                      1.19
128                     1.27
256                     1.82
512                     1.95
1024                    2.28
2048                    2.72
4096                    3.17
8192                    4.53
16384                   6.95
32768                  10.25
65536                  15.72
131072                 26.12
262144                 47.02
524288                 88.16
1048576               171.96
2097152               338.04
4194304               670.21
comet-17-14,comet-17-13
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.12
2                       1.12
4                       1.12
8                       1.11
16                      1.15
32                      1.17
64                      1.20
128                     1.29
256                     1.80
512                     1.93
1024                    2.28
2048                    2.77
4096                    3.20
8192                    4.57
16384                   6.79
32768                  10.21
65536                  15.60
131072                 26.32
262144                 46.78
524288                 88.78
1048576               172.23
2097152               338.55
4194304               669.96
