#,comet-17-12,comet-17-13,comet-17-14
comet-17-12,0.0,1.1599999999999999,1.1100000000000001
comet-17-13,1.1599999999999999,0.0,1.1200000000000001
comet-17-14,1.1100000000000001,1.1200000000000001,0.0
