#,comet-5-19,comet-5-20,comet-5-21,comet-5-22,comet-5-23,comet-5-24,comet-5-25,comet-5-26,comet-5-27,comet-5-28,comet-5-29,comet-5-30,comet-5-31,comet-5-32,comet-5-33,comet-5-34,comet-5-35,comet-5-36
comet-5-19,0.0,1.1499999999999999,1.1599999999999999,1.1299999999999999,1.1799999999999999,1.1200000000000001,1.1299999999999999,1.1599999999999999,1.1499999999999999,1.1399999999999999,1.1399999999999999,1.1699999999999999,1.1299999999999999,1.1200000000000001,1.1299999999999999,1.1499999999999999,1.1299999999999999,1.1399999999999999
comet-5-20,1.1499999999999999,0.0,1.1100000000000001,1.1100000000000001,1.1599999999999999,1.1599999999999999,1.1599999999999999,1.1799999999999999,1.1200000000000001,1.1299999999999999,1.1100000000000001,1.1399999999999999,1.1399999999999999,1.1200000000000001,1.1200000000000001,1.1699999999999999,1.1599999999999999,1.1200000000000001
comet-5-21,1.1599999999999999,1.1100000000000001,0.0,1.1000000000000001,1.1399999999999999,1.1699999999999999,1.2,1.1000000000000001,1.0900000000000001,1.22,1.1200000000000001,1.1100000000000001,1.1299999999999999,1.1100000000000001,1.1100000000000001,1.1100000000000001,1.1399999999999999,1.1100000000000001
comet-5-22,1.1299999999999999,1.1100000000000001,1.1000000000000001,0.0,1.1399999999999999,1.1200000000000001,1.1200000000000001,1.1100000000000001,1.1100000000000001,1.1399999999999999,1.1299999999999999,1.1299999999999999,1.1200000000000001,1.1100000000000001,1.1399999999999999,1.1299999999999999,1.1399999999999999,1.1200000000000001
comet-5-23,1.1799999999999999,1.1599999999999999,1.1399999999999999,1.1399999999999999,0.0,1.1200000000000001,1.2,1.1000000000000001,1.1399999999999999,1.1799999999999999,1.1299999999999999,1.1399999999999999,1.1299999999999999,1.1599999999999999,1.2,1.21,1.1000000000000001,1.1000000000000001
comet-5-24,1.1200000000000001,1.1599999999999999,1.1699999999999999,1.1200000000000001,1.1200000000000001,0.0,1.26,1.1100000000000001,1.1100000000000001,1.1100000000000001,1.1200000000000001,1.1200000000000001,1.1100000000000001,1.1000000000000001,1.1299999999999999,1.1000000000000001,1.1599999999999999,1.1299999999999999
comet-5-25,1.1299999999999999,1.1599999999999999,1.2,1.1200000000000001,1.2,1.26,0.0,1.1000000000000001,1.1299999999999999,1.1399999999999999,1.1200000000000001,1.1299999999999999,1.1200000000000001,1.1499999999999999,1.2,1.1299999999999999,1.1399999999999999,1.1000000000000001
comet-5-26,1.1599999999999999,1.1799999999999999,1.1000000000000001,1.1100000000000001,1.1000000000000001,1.1100000000000001,1.1000000000000001,0.0,1.1499999999999999,1.1100000000000001,1.1699999999999999,1.1200000000000001,1.1000000000000001,1.1200000000000001,1.1000000000000001,1.1000000000000001,1.1000000000000001,1.1499999999999999
comet-5-27,1.1499999999999999,1.1200000000000001,1.0900000000000001,1.1100000000000001,1.1399999999999999,1.1100000000000001,1.1299999999999999,1.1499999999999999,0.0,1.1399999999999999,1.1100000000000001,1.1499999999999999,1.1399999999999999,1.1100000000000001,1.1000000000000001,1.1000000000000001,1.1200000000000001,1.1200000000000001
comet-5-28,1.1399999999999999,1.1299999999999999,1.22,1.1399999999999999,1.1799999999999999,1.1100000000000001,1.1399999999999999,1.1100000000000001,1.1399999999999999,0.0,1.1599999999999999,1.1000000000000001,1.1100000000000001,1.1200000000000001,1.1100000000000001,1.1399999999999999,1.1200000000000001,1.1000000000000001
