#,comet-3-55,comet-3-56,comet-3-57,comet-3-58,comet-3-59,comet-3-60,comet-3-61,comet-3-62,comet-3-63,comet-3-64,comet-3-65,comet-3-66,comet-3-67,comet-3-68,comet-3-69,comet-3-70,comet-3-71,comet-3-72
comet-3-55,0.0,1.2,1.1599999999999999,1.1399999999999999,1.1899999999999999,1.1100000000000001,1.1699999999999999,1.1399999999999999,1.1299999999999999,1.1499999999999999,1.1000000000000001,1.1499999999999999,1.1100000000000001,1.1399999999999999,1.1499999999999999,1.23,1.1200000000000001,1.1299999999999999
comet-3-56,1.2,0.0,1.1399999999999999,1.1100000000000001,1.1299999999999999,1.1299999999999999,1.1100000000000001,1.1100000000000001,1.1200000000000001,1.1000000000000001,1.1100000000000001,1.1299999999999999,1.1100000000000001,1.1399999999999999,1.1399999999999999,1.1200000000000001,1.1299999999999999,1.1399999999999999
comet-3-57,1.1599999999999999,1.1399999999999999,0.0,1.1100000000000001,1.1299999999999999,1.1100000000000001,1.1100000000000001,1.1200000000000001,1.1000000000000001,1.1100000000000001,1.1000000000000001,1.1000000000000001,1.1200000000000001,1.1499999999999999,1.1299999999999999,1.1100000000000001,1.1799999999999999,1.1200000000000001
comet-3-58,1.1399999999999999,1.1100000000000001,1.1100000000000001,0.0,1.1299999999999999,1.1000000000000001,1.1399999999999999,1.1299999999999999,1.1000000000000001,1.1200000000000001,1.2,1.1100000000000001,1.1399999999999999,1.1100000000000001,1.1200000000000001,1.1100000000000001,1.1100000000000001,1.1599999999999999
comet-3-59,1.1899999999999999,1.1299999999999999,1.1299999999999999,1.1299999999999999,0.0,1.1299999999999999,1.1499999999999999,1.1699999999999999,1.1299999999999999,1.1100000000000001,1.1399999999999999,1.1299999999999999,1.1299999999999999,1.1399999999999999,1.1200000000000001,1.1000000000000001,1.1499999999999999,1.1100000000000001
comet-3-60,1.1100000000000001,1.1299999999999999,1.1100000000000001,1.1000000000000001,1.1299999999999999,0.0,1.1299999999999999,1.1299999999999999,1.1200000000000001,1.1000000000000001,1.1200000000000001,1.1200000000000001,1.1399999999999999,1.1200000000000001,1.1000000000000001,1.1200000000000001,1.1200000000000001,1.1200000000000001
comet-3-61,1.1699999999999999,1.1100000000000001,1.1100000000000001,1.1399999999999999,1.1499999999999999,1.1299999999999999,0.0,1.1699999999999999,1.1200000000000001,1.1200000000000001,1.1200000000000001,1.1200000000000001,1.1200000000000001,1.1299999999999999,1.1799999999999999,1.1100000000000001,1.1100000000000001,1.1100000000000001
comet-3-62,1.1399999999999999,1.1100000000000001,1.1200000000000001,1.1299999999999999,1.1699999999999999,1.1299999999999999,1.1699999999999999,0.0,1.1100000000000001,1.1000000000000001,1.1599999999999999,1.1100000000000001,1.1599999999999999,1.1200000000000001,1.1499999999999999,1.1200000000000001,1.1100000000000001,1.1299999999999999
comet-3-63,1.1299999999999999,1.1200000000000001,1.1000000000000001,1.1000000000000001,1.1299999999999999,1.1200000000000001,1.1200000000000001,1.1100000000000001,0.0,1.1200000000000001,1.1000000000000001,1.1000000000000001,1.1200000000000001,1.1499999999999999,1.1299999999999999,1.1100000000000001,1.1200000000000001,1.1499999999999999
comet-3-64,1.1499999999999999,1.1000000000000001,1.1100000000000001,1.1200000000000001,1.1100000000000001,1.1000000000000001,1.1200000000000001,1.1000000000000001,1.1200000000000001,0.0,1.1699999999999999,1.1799999999999999,1.1299999999999999,1.1100000000000001,1.1299999999999999,1.1399999999999999,1.1499999999999999,1.1000000000000001
