#,comet-10-1,comet-10-2,comet-10-3,comet-10-4,comet-10-5,comet-10-6,comet-10-7,comet-10-8,comet-10-9,comet-10-10,comet-10-11,comet-10-12,comet-10-13,comet-10-14,comet-10-15,comet-10-16,comet-10-17,comet-10-18
comet-10-1,0.0,1.1100000000000001,1.1200000000000001,1.1599999999999999,1.1699999999999999,1.2,1.1399999999999999,1.1599999999999999,1.1200000000000001,1.1499999999999999,1.1299999999999999,1.1299999999999999,1.1000000000000001,1.1200000000000001,1.1299999999999999,1.1299999999999999,1.1699999999999999,1.1499999999999999
comet-10-2,1.1100000000000001,0.0,1.1200000000000001,1.1100000000000001,1.1000000000000001,1.1499999999999999,1.1100000000000001,1.1100000000000001,1.1599999999999999,1.1299999999999999,1.1599999999999999,1.1100000000000001,1.1100000000000001,1.1100000000000001,1.1299999999999999,1.1100000000000001,1.1699999999999999,1.1299999999999999
comet-10-3,1.1200000000000001,1.1200000000000001,0.0,1.1100000000000001,1.1499999999999999,1.2,1.1000000000000001,1.1399999999999999,1.1100000000000001,1.1699999999999999,1.1100000000000001,1.1000000000000001,1.1399999999999999,1.1000000000000001,1.1100000000000001,1.1200000000000001,1.1499999999999999,1.1100000000000001
comet-10-4,1.1599999999999999,1.1100000000000001,1.1100000000000001,0.0,1.1200000000000001,1.1299999999999999,1.1100000000000001,1.1499999999999999,1.1200000000000001,1.1000000000000001,1.1399999999999999,1.1100000000000001,1.1200000000000001,1.1699999999999999,1.1699999999999999,1.1299999999999999,1.1299999999999999,1.1100000000000001
comet-10-5,1.1699999999999999,1.1000000000000001,1.1499999999999999,1.1200000000000001,0.0,1.1000000000000001,1.1299999999999999,1.1299999999999999,1.1200000000000001,1.1100000000000001,1.1599999999999999,1.1000000000000001,1.1699999999999999,1.1499999999999999,1.1699999999999999,1.1200000000000001,1.1100000000000001,1.1299999999999999
comet-10-6,1.2,1.1499999999999999,1.2,1.1299999999999999,1.1000000000000001,0.0,1.1899999999999999,1.1100000000000001,1.1299999999999999,1.1699999999999999,1.1200000000000001,1.1200000000000001,1.1100000000000001,1.1599999999999999,1.1499999999999999,1.1100000000000001,1.1799999999999999,1.1200000000000001
comet-10-7,1.1399999999999999,1.1100000000000001,1.1000000000000001,1.1100000000000001,1.1299999999999999,1.1899999999999999,0.0,1.1000000000000001,1.1299999999999999,1.1100000000000001,1.1100000000000001,1.1699999999999999,1.1100000000000001,1.1000000000000001,1.1299999999999999,1.1200000000000001,1.1299999999999999,1.1000000000000001
comet-10-8,1.1599999999999999,1.1100000000000001,1.1399999999999999,1.1499999999999999,1.1299999999999999,1.1100000000000001,1.1000000000000001,0.0,1.1100000000000001,1.1299999999999999,1.1799999999999999,1.1000000000000001,1.1100000000000001,1.1000000000000001,1.1299999999999999,1.1200000000000001,1.1299999999999999,1.1299999999999999
comet-10-9,1.1200000000000001,1.1599999999999999,1.1100000000000001,1.1200000000000001,1.1200000000000001,1.1299999999999999,1.1299999999999999,1.1100000000000001,0.0,1.1100000000000001,1.1200000000000001,1.1699999999999999,1.1000000000000001,1.1000000000000001,1.1299999999999999,1.1200000000000001,1.1399999999999999,1.1200000000000001
comet-10-10,1.1499999999999999,1.1299999999999999,1.1699999999999999,1.1000000000000001,1.1100000000000001,1.1699999999999999,1.1100000000000001,1.1299999999999999,1.1100000000000001,0.0,1.1299999999999999,1.1200000000000001,1.1299999999999999,1.1100000000000001,1.1299999999999999,1.1799999999999999,1.1799999999999999,1.1299999999999999
comet-10-11,1.1299999999999999,1.1599999999999999,1.1100000000000001,1.1399999999999999,1.1599999999999999,1.1200000000000001,1.1100000000000001,1.1799999999999999,1.1200000000000001,1.1299999999999999,0.0,1.1000000000000001,1.1399999999999999,1.1399999999999999,1.1599999999999999,1.1699999999999999,1.1499999999999999,1.1299999999999999
comet-10-12,1.1299999999999999,1.1100000000000001,1.1000000000000001,1.1100000000000001,1.1000000000000001,1.1200000000000001,1.1699999999999999,1.1000000000000001,1.1699999999999999,1.1200000000000001,1.1000000000000001,0.0,1.1399999999999999,1.1100000000000001,1.1399999999999999,1.1200000000000001,1.1100000000000001,1.1100000000000001
