#,comet-3-19,comet-3-20,comet-3-21,comet-3-22,comet-3-23,comet-3-24,comet-3-25,comet-3-26,comet-3-27,comet-3-28,comet-3-29,comet-3-30,comet-3-31,comet-3-32,comet-3-33,comet-3-34,comet-3-35,comet-3-36
comet-3-19,0.0,1.1799999999999999,1.1899999999999999,1.1200000000000001,1.1899999999999999,1.22,1.1499999999999999,1.1799999999999999,1.1499999999999999,1.1100000000000001,1.1299999999999999,1.1299999999999999,1.1299999999999999,1.1100000000000001,1.1299999999999999,1.1100000000000001,1.1699999999999999,1.23
comet-3-20,1.1799999999999999,0.0,1.1899999999999999,1.1399999999999999,1.1200000000000001,1.1100000000000001,1.1100000000000001,1.1399999999999999,1.1100000000000001,1.1200000000000001,1.1000000000000001,1.1499999999999999,1.1100000000000001,1.1399999999999999,1.1200000000000001,1.1200000000000001,1.1499999999999999,1.1200000000000001
comet-3-21,1.1899999999999999,1.1899999999999999,0.0,1.1200000000000001,1.1100000000000001,1.1100000000000001,1.1299999999999999,1.1100000000000001,1.1200000000000001,1.1299999999999999,1.1100000000000001,1.1499999999999999,1.1299999999999999,1.1000000000000001,1.1000000000000001,1.1100000000000001,1.1100000000000001,1.1399999999999999
comet-3-22,1.1200000000000001,1.1399999999999999,1.1200000000000001,0.0,1.1100000000000001,1.1200000000000001,1.1200000000000001,1.1499999999999999,1.1200000000000001,1.1299999999999999,1.1100000000000001,1.1499999999999999,1.1100000000000001,1.1200000000000001,1.1000000000000001,1.1299999999999999,1.1699999999999999,1.1299999999999999
comet-3-23,1.1899999999999999,1.1200000000000001,1.1100000000000001,1.1100000000000001,0.0,1.1200000000000001,1.1399999999999999,1.1200000000000001,1.1000000000000001,1.1100000000000001,1.1100000000000001,1.1100000000000001,1.1000000000000001,1.0900000000000001,1.1399999999999999,1.1299999999999999,1.1000000000000001,1.1100000000000001
comet-3-24,1.22,1.1100000000000001,1.1100000000000001,1.1200000000000001,1.1200000000000001,0.0,1.1399999999999999,1.1100000000000001,1.1299999999999999,1.2,1.1100000000000001,1.1200000000000001,1.1299999999999999,1.1100000000000001,1.1699999999999999,1.1000000000000001,1.1000000000000001,1.1200000000000001
comet-3-25,1.1499999999999999,1.1100000000000001,1.1299999999999999,1.1200000000000001,1.1399999999999999,1.1399999999999999,0.0,1.1200000000000001,1.0900000000000001,1.1000000000000001,1.1100000000000001,1.1399999999999999,1.1100000000000001,1.1100000000000001,1.1299999999999999,1.1399999999999999,1.1100000000000001,1.1000000000000001
comet-3-26,1.1799999999999999,1.1399999999999999,1.1100000000000001,1.1499999999999999,1.1200000000000001,1.1100000000000001,1.1200000000000001,0.0,1.1899999999999999,1.1000000000000001,1.1399999999999999,1.1499999999999999,1.1100000000000001,1.1399999999999999,1.1200000000000001,1.1100000000000001,1.1399999999999999,1.1200000000000001
comet-3-27,1.1499999999999999,1.1100000000000001,1.1200000000000001,1.1200000000000001,1.1000000000000001,1.1299999999999999,1.0900000000000001,1.1899999999999999,0.0,1.1299999999999999,1.1100000000000001,1.1299999999999999,1.1299999999999999,1.1100000000000001,1.1100000000000001,1.1000000000000001,1.1100000000000001,1.1399999999999999
comet-3-28,1.1100000000000001,1.1200000000000001,1.1299999999999999,1.1299999999999999,1.1100000000000001,1.2,1.1000000000000001,1.1000000000000001,1.1299999999999999,0.0,1.1599999999999999,1.1399999999999999,1.1100000000000001,1.1599999999999999,1.1399999999999999,1.1000000000000001,1.1200000000000001,1.1699999999999999
